label_id,label_name,label_ru,description,link
10,English_springer,Английский спрингер-спаниель,"Английские спрингер спаниели чрезвычайно популярны среди охотников. Это объясняется отличными служебными качествами, размерами собаки, которую удобно содержать даже в городе, дружелюбным характером.",https://petgu.ru/porody/anglijskij-springer-spaniel
11,EntleBucher,Энтлебухер зенненхунд,Энтлебухер зенненхунд – самый миниатюрный среди швейцарских зенненхундов; обладатель короткой трехцветной шерсти и компанейского характера.,https://lapkins.ru/dog/entlebukher-zennenkhund/
12,Eskimo_dog,Канадская эскимосская собака,"Канадская эскимосская собака — древняя порода, которая попала на новые земли тысячу лет назад вместе с народом туле — предком эскимосов. Инуиты, эскимосы Канады, называют ее «киммик» или «киммит», что дословно так и переводится — «собака». Люди использовали этих собак в качестве охотничьих и ездовых.",https://petstory.ru/knowledge/dogs/dog-breeds/canadian-eskimo-dog/
13,French_bulldog,Французский бульдог,Французский бульдог – маленькая собака-компаньон с добродушным характером. Питомцу требуется постоянное общение с членами семьи.,https://lapkins.ru/dog/frantsuzskiy-buldog/
14,German_shepherd,Немецкая овчарка,"Немецкая овчарка
Немецкая овчарка живет бок о бок с человеком с незапамятных времен. Сегодня она является одной из самых популярных и узнаваемых пород собак на планете.",https://lapkins.ru/dog/nemetskaya-ovcharka/
15,Gordon_setter,Шотландский сеттер,"Шотландский сеттер – самый крупный в секции сеттеров, выведенный для подружейной охоты на степную и болотную дичь. В предках породы числятся исчезнувшие виды спаниелей, бладхаунды, пойнтеры, а также английский и ирландский сеттеры.",https://lapkins.ru/dog/shotlandskiy-setter/
16,Great_Dane,Немецкий дог,"Немецкий дог – настоящий аристократ собачьего мира. Он покоряет сердца величественной красотой, интеллектом, ласковым отношением к домочадцам и прекрасными охранными качествами. ",https://lapkins.ru/dog/nemetskiy-dog/
17,Great_Pyrenees,Пиренейская горная собака,"Пиренейская горная собака (большой пиреней) – французская порода крупных собак с лохматой белой шерстью, ранее привлекавшаяся к пастушеской деятельности и охране территорий. ",https://lapkins.ru/dog/pireneyskaya-gornaya-sobaka/
18,Greater_Swiss_Mountain_dog,Большой швейцарский зенненхунд,"Большой швейцарский зенненхунд – крупная горная собака трехцветного окраса, выведенная в Альпах. Относится к рабочим породам, использовавшимся для загона скота, охраны жилища и перевозки небольших грузов в сложных условиях гористой местности.",https://lapkins.ru/dog/bolshoy-shveytsarskiy-zennenkhund/
19,Irish_setter,Ирландский сеттер,"Ирландский сеттер (ирландский красный сеттер) – охотник, склонный к экстраверсии интеллектуал и адепт активного образа жизни с роскошной каштановой шерстью.",https://lapkins.ru/dog/irlandskiy-setter/
20,Irish_water_spaniel,Ирландский водяной спаниель,"Ирландский водяной спаниель – самый крупный и харизматичный представитель группы спаниелей. Выведен для охоты на полевую и болотную дичь. Обладатель эффектной кудрявой шерсти на теле, контрастирующей с гладкими мордочкой и хвостом.",https://lapkins.ru/dog/irlandskiy-vodyanoy-spaniel/
21,Leonberg,Леонбергер,"Леонбергер – сторожевая порода крупногабаритных лохматых собак с черной маской на морде, выведенная в одном из юго-западных регионов Германии. ",https://lapkins.ru/dog/leonberger/
22,Mexican_hairless,Ксолоитцкуинтли,"Ксолоитцкуинтли – обладатель экстравагантной внешности, который удостоен звания национального достояния Мексики. Согласно поверью, эти собаки защищают дом хозяина от злых духов.",https://lapkins.ru/dog/ksoloittskuintli/
23,Newfoundland,Ньюфаундленд,Ньюфаундленд – огромная мощная собака с эффектной внешностью и великолепным характером. Цель ее существования – служение людям.,https://lapkins.ru/dog/nyufaundlend/
24,Old_English_sheepdog,Бобтейл,"Бобтейл – пастушья порода собак из Великобритании. Этот огромный и кудрявый пес пользуется большой популярностью благодаря своему дружелюбному характеру. Староанглийская овчарка сегодня используется не только в качестве пастуха, но и в роли компаньона, собаки-поводыря и даже для терапии детей с отставанием в физическом и умственном развитии.",https://lapkins.ru/dog/bobteyl/
25,Pembroke,Вельш-корги пемброк,"Вельш-корги пемброк – удивительная собака, любимая порода Ее Величества королевы Великобритании Елизаветы ІІ, маленькая овчарка с большим и бесстрашным сердцем.",https://lapkins.ru/dog/velsh-korgi-pembrok/
26,Pomeranian,Померанский шпиц,Померанский шпиц выглядит как детская игрушка. Этот пушистый колобочек станет верным другом и звонким лаем скрасит самый пасмурный день.,https://lapkins.ru/dog/pomeranskiy-shpits/
27,Rottweiler,Ротвейлер,"Ротвейлер – прирожденный защитник и надежный охранник с сильным независимым характером. Умен, серьезен и бесконечно предан хозяину.",https://lapkins.ru/dog/rotveyler/
28,Saint_Bernard,Сенбернар,"Сенбернар – обаятельный гигант с миролюбивым характером и немного печальным взглядом. Считается типичной семейной собакой, но при правильно подобранном курсе дрессировки сможет стать отличным спасателем или сторожем. Спокоен, дисциплинирован, искренне любит детей.",https://lapkins.ru/dog/senbernar/
29,Samoyed,Самоедская собака,"Самоедская собака – дружелюбное, преданное животное, которое сочетает в себе лучшие черты товарища для активного досуга и игривого домашнего питомца.",https://lapkins.ru/dog/samoedskaya-sobaka/
30,Shetland_sheepdog,Шелти,"Шелти (шетландская овчарка) – уроженец северо-восточной Шотландии; веселый компаньон, ответственная нянька и преданный друг.",https://lapkins.ru/dog/shelti/
31,Siberian_husky,Сибирский хаски,"Сибирский хаски – одна из древнейших пород собак, на протяжении многих веков верой и правдой служащая человеку, живое воплощение собачьего ума, сообразительности, преданности и любви к человеку.",https://lapkins.ru/dog/sibirskiy-khaski/
32,Sussex_spaniel,Суссекс-спаниель,"Суссекс-спаниель – коротколапая охотничья порода, зародившаяся в британском графстве Суссукс (Сассекс). Практически не встречается за пределами своей родины.",https://kinpet.ru/susseks-spaniel/
33,Tibetan_mastiff,Тибетский мастиф,"Тибетский мастиф – огромный красавец, который примечателен мощными габаритами. Впрочем, его внешнее сходство с царём зверей нисколько не умаляет добродушия.",https://lapkins.ru/dog/tibetskiy-mastif/
34,Welsh_springer_spaniel,Валийский спрингер спаниель,"Вельш-спрингер-спаниель (уэльский спаниель) – охотничья порода собак, которую периодически путают с более известными английскими спрингерами. Несмотря на общих предков, животные из Уэльса более миниатюрны.",https://kinpet.ru/velsh-springer-spaniel/
35,affenpinscher,Аффенпинчер,"Аффенпинчер – карликовый представитель группы пинчеров с жесткой шерстью по корпусу и длинной косматой растительностью на морде, любознательный косматый «метеор», чье доверие почти невозможно заслужить, если вы не его хозяин.",https://lapkins.ru/dog/affenpincher/
36,basenji,Басенджи,"Басенджи — очень древняя порода, которая дошла до наших дней, не претерпев никаких изменений. Эта собака – прекрасный охотник и чуткий преданный друг.",https://lapkins.ru/dog/basendzhi/
37,boxer,Боксер,"Немецкий боксёр, или просто боксер – представитель крупной, коренастой и гладкошерстной породы. Выведенный в Германии, он получил широкую известность благодаря отличным охранным качествам. Боксер становится для своего хозяина прекрасным компаньоном и настоящим другом.",https://lapkins.ru/dog/bokser/
38,briard,Бриар,"Бриар – французская пастушья овчарка с длинной шерстью по всему корпусу и стильной лохматой челкой на лбу, скрывающей глаза. Среди заводчиков ценится за острый ум, живость характера и самостоятельность в принятии решений.",https://lapkins.ru/dog/briar/
39,bull_mastiff,Бульмастиф,"Бульмастиф – ответственный сторож и неутомимый компаньон, ведущий свою родословную от английских бульдогов и мастифов. Бесконечно ласков к владельцу и членам его семьи, но всегда насторожен в отношении незнакомцев.",https://lapkins.ru/dog/bulmastif/
40,chow,Чау-чау,"Чау-чау – собака с поразительной внешностью, историей, овеянной легендами и удивительным, до конца не познанным характером. Сейчас это собака-компаньон, сохранившая в глубине своей загадочной души все лучшие черты своих далеких предков.",https://lapkins.ru/dog/chau-chau/
41,clumber,Кламбер-спаниель,"Кламбер-спаниель – охотничья собака из Великобритании, редко встречающаяся за ее пределами. Порода примечательна внушительными габаритами и является самой крупной среди признанных разновидностей спаниелей.",https://kinpet.ru/klamber-spaniel/
42,cocker_spaniel,Английский кокер-спаниель,"Английский кокер-спаниель – подружейная охотничья собака, выведенная в Великобритании специально для поиска и подъема под выстрел пернатой дичи.",https://lapkins.ru/dog/angliyskiy-koker-spaniel/
43,collie,Шотландская овчарка (колли),Шотландская овчарка (колли) – крупная пастушья собака с удлиненной вытянутой мордой и обаятельным лукавым взглядом. С конца 90-х разводится в двух независимых друг от друга разновидностях – длинношерстной и короткошерстной.,https://lapkins.ru/dog/kolli-dlinnoshyerstnyy/
44,dhole,Дхоли,"Красные волки или дхоли — вид волчьих, единственный представитель своего рода (а не рода Canis, к которому относятся серые волки и многие другие животные, именуемые волками). Обитают на Индийском субконтиненте и Дальнем Востоке, включая Индонезию, Китай, Монголию и области России, а некогда обитали и в Европе.","https://en.wikipedia.org/wiki/Dhole
"
45,dingo,Динго,"Ди́нго — вторично одичавшая домашняя собака, единственный плацентарный хищник в фауне Австралии до прихода европейцев.",https://en.wikipedia.org/wiki/Dingo
46,groenendael,Грюнендаль,"Грюнендаль – разновидность бельгийской овчарки с черной шерстью средней длины. Используется в качестве сторожевой собаки и верного компаньона, а также для работы в полиции и на таможне.",https://kinpet.ru/gryunendal/
47,keeshond,Кеесхонд,"Кеесхонд – разновидность немецких вольфшпицев, появившаяся на свет благодаря стараниям голландских селекционеров. Все представители породы имеют двойную длинную шерсть волчьего окраса и отличаются живым темпераментом.",https://lapkins.ru/dog/keeskhond/
48,kelpie,Австралийский келпи,"Австралийский келпи (австралийская овчарка) – пастушья порода собак для погона мелкого рогатого скота и домашней птицы, с собакой можно участвовать в соревнованиях по послушанию, фристайлу, аджилити и фризби, за пределами австралийского континента представлена незначительно.",https://www.purinaone.ru/dog/articles/breeds/avstraliyskiy-kelpi
49,komondor,Комондор,"Комондор – венгерская порода овчарок с длинной белой шерстью, сбивающейся в плотные шнуры. Все представители семейства обладают в меру выдержанным характером, развитым территориальным инстинктом и умением принимать правильные решения в экстремальных ситуациях.",https://lapkins.ru/dog/komondor/
50,kuvasz,Венгерский кувас,"Венгерский кувас – порода пастушьих собак из Венгрии, примечательная белоснежной волнистой шерстью и крупным размером. Несмотря на большую популярность на родине, а также в США и Канаде, кувас практически не встречается в России.",https://kinpet.ru/kuvas-vengerskiy/
51,malamute,Аляскинский маламут,"Аляскинский маламут – древняя порода, выведенная эскимосами племени малемьют. Крупные и выносливые, маламуты предназначены для работы в собачьих упряжках в регионах Крайнего Севера.",https://lapkins.ru/dog/alyaskinskiy-malamut/
52,malinois,Малинуа,"Малинуа – овчарки рыжеватой масти с черной маской на морде, выведенные в окрестностях бельгийского города Мехелен. Кинологическими ассоциациями объединяются в одну породу с грюнендалями, тервюренами и лакенуа.",https://lapkins.ru/dog/malinua/
53,miniature_pinscher,Цвергпинчер,"Цвергпинчер – миниатюрный, но весьма крепко сложенный красавец, энергичный, бесстрашный и уверенный в себе. Он эмоционален, ласков и чрезвычайно общителен.",https://lapkins.ru/dog/tsvergpincher/
54,miniature_poodle,Карликовый пудель,Карликовый пудель — жизнерадостный и любопытный питомец с веселым характером. Эти собаки — представители одной из самых умных пород в мире. Они легко поддаются дрессировке и буквально «ловят на лету» новые команды. Именно поэтому пуделей чаще других пород можно увидеть в цирке.,https://www.purinaone.ru/dog/articles/breeds/miniatyurnyy-pudel
55,pug,Мопс,Мопс является древней и неизменно популярной на протяжении всей своей истории породой. Это прекрасная собака-компаньон для городских жителей.,https://lapkins.ru/dog/mops/
56,schipperke,Шипперке,"Шипперке – самая маленькая овчарка, выведенная во Фламандском регионе Бельгии для охоты на речных крыс и мышей. Отличительные черты породы: черный окрас, пышный «воротник» на шее, темпераментность. ",https://lapkins.ru/dog/shipperke/
57,standard_poodle,Пудель,"Пудель – элегантная и миловидная собака, славящаяся своей необычной кудрявой шерстью. Представители этой породы обладают живым характером, веселым нравом и очень смышленые.",https://lapkins.ru/dog/pudel/
58,toy_poodle,Той-пудель,"Той-пудель — самый маленький из всех пуделей. Очень красивый, умный и нежный. Он любит своего хозяина, детей, прогулки и длинные разговоры. Хорошо поддаётся дрессировке и воспитанию. Но нуждается в качественном уходе, не меньшей заботе и ласке.",https://pet-guide.ru/sobaki/toy-poodle/
59,vizsla,Венгерская выжла,Венгерская выжла – элегантная представительница охотничьей подружейной породы. Эта красавица в золотисто-рыжей шубке станет вашим личным солнышком в пасмурный день! ,https://lapkins.ru/dog/vengerskaya-vyzhla/
